epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1520.77,1.58649,3.39831,1.82304,0.37098,0.19035,0.11897,0.06129,1.83275,2.92181,2.1372,0.000276689,0.000276689,0.000276689
2,1608.88,1.56129,2.69906,1.78071,0.4632,0.2674,0.20327,0.09156,1.83852,2.58005,2.05863,0.000444593,0.000444593,0.000444593
3,1696.42,1.53081,2.46334,1.75245,0.30667,0.25432,0.15502,0.06758,1.88484,2.66352,2.0584,0.000502541,0.000502541,0.000502541
4,1783.24,1.45792,2.25499,1.68737,0.51283,0.34376,0.31895,0.16807,1.70719,2.15695,1.88978,0.000338198,0.000338198,0.000338198
5,1871.01,1.39822,2.04795,1.62953,0.54223,0.36437,0.34527,0.18613,1.65133,2.07057,1.87778,0.000173264,0.000173264,0.000173264
